RUDENESS,LIKEASTHEWAVESMAKETO,CCNIN WLZVQ DZRWE SBYWS 
CHAPERON,ISITTHYWILLTHYIMAGES,KZIIX YMJKS LILPW ZCNEH 
POPULISM,SINOFSELFLOVEPOSSESS,HWCIQ AWXUZ DPPXG EHSHM 
MISTIEST,AGAINSTMYLOVESHALLBE,MOSBV WLFKT GOMWZ TXTTX 
RETITLED,WHENIHAVESEENBYTIMES,NLXVB SEYVW XMGMC WZQXA 
STOPPAGE,SINCEBRASSNORSTONENO,KBBRT BXEKL BDGSZ SFXBD 
HEDGEROW,TIREDWITHALLTHESEFOR,AMUKH NWPOE ORXYS OLJRX 
GRADINGS,AHWHEREFOREWITHINFEC,GYWKM EKXUI EZQGN ATWEF 
EXULTING,THUSISHISCHEEKTHEMAP,XEODB AUOWZ BPXSG NIJUA 
MUSICIAN,THOSEPARTSOFTHEETHAT,FBGAG XAEFM GNVPE RFBSB 
MANPOWER,THATTHOUARTBLAMEDSHA,FHNIH DSLMR GQZWQ VPSUP 
SHEATHED,NOLONGERMOURNFORMEWH,FVPOG NIUEV YRGMS UELAH 
WELCOMES,OLESTTHEWORLDSHOULDT,KPPUH FLWSS CNREL GQPOV 
TERMITES,THATTIMEOFYEARTHOUMA,MLRFB BQWHJ PQIKX ZHYDM 
BATTLING,BUTBECONTENTEDWHENTH,CUMUP KBTUE GMPLJ NFNMA 
RETYPING,SOAREYOUTOMYTHOUGHTS,JSTPT GBAKS FWIPB AXLMQ 
SPATULAS,WHYISMYVERSESOBARREN,OWYBM XYNWG SXMZB SJGEG 
ACHIEVED,THYGLASSWILLSHOWTHEE,TJFOP VWVWK STWCS ZTJLM 
SAVAGERY,SOOFTHAVEIINVOKEDTHE,KOJFZ LRTWI DNBSB CVTCE 
FANFARES,WHILSTIALONEDIDCALLU,BHVQS KMSQO AJDZH UFLYZ 
ARCHNESS,OHOWIFAINTWHENIOFYOU,OYQDV JSANK YORRA GFPQB 
ALIQUOTS,ORISHALLLIVEYOUREPIT,OCQIB OEDLT DUSCN JEAQJ 
READINGS,IGRANTTHOUWERTNOTMAR,ZKRDV GZZFY WHZGT GKQAU 
UNBROKEN,INEVERSAWTHATYOUDIDP,CAFMS BWNQG IRHIS HXVEG 
FLUORIDE,WHOISITTHATSAYSMOSTW,BSIWJ QWXML NGRGV QTDNK 
LAMBSKIN,MYTONGUETIEDMUSEINMA,XYFPF QCREI QEEEA RTNYB 
DISCRETE,WASITTHEPROUDFULLSAI,ZIKKK XAISZ GWUJN POASK 
DECIMALS,FAREWELLTHOUARTTOODE,IETMI EWDWL QCMRE LRSFM 
REDEEMER,WHENTHOUSHALTBEDISPO,NLHRX TSLJL DPXNI UZWSS 
STAINING,SAYTHATTHOUDIDSTFORS,KTYBU IGZZH ULVLF ZXHRA 
TRIPLING,THENHATEMEWHENTHOUWI,MYMCS IGKFV EWPVG NHLEX 
INTERMIX,SOMEGLORYINTHEIRBIRT,ABFIX XWOGV GXYQQ OJVKX 
DEPENDED,BUTDOTHYWORSTTOSTEAL,EYIHB WLBZS GWGWS VWIPP 
SHREDDER,SOSHALLILIVESUPPOSIN,KVJLD OPZDP MIVXT GGZZR 
SACREDLY,THEYTHATHAVEPOWERTOH,LHGPX KLRZA XVTRH CJTQY 
AGRONOMY,HOWSWEETANDLOVELYDOS,HUNGJ SQRAT UZBJQ JYJFG 
MONASTIC,SOMESAYTHYFAULTISYOU,ECZEK TGVTM SAMEB KEMBU 
SMALLPOX,HOWLIKEAWINTERHATHMY,ZAWWT ZSXOU NEPGV XLTMJ 
MERINGUE,FROMYOUHAVEIBEENABSE,RVFUL UOLMZ VQOKY RMFJM 
CRAMPONS,THEFORWARDVIOLETTHUS,VYERD FJSTU VUDZR LVYUE 
SPEECHES,WHEREARTTHOUMUSETHAT,OWIVG HVLLW SYOBW WLWEX 
ANIMATOR,OTRUANTMUSEWHATSHALL,OGZGA GHDUF MIHTH JHNTX 
PRINTERS,MYLOVEISSTRENGTHENDT,BPTBO IZKHK ZRGKK ZTELG 
PLEBEIAN,ALACKWHATPOVERTYMYMU,PWEDO EHNIA SWIZT LBJQV 
CAMOMILE,TOMEFAIRFRIENDYOUNEV,VOYSR ITVHR USZLJ SWNQJ 
ECHELONS,LETNOTMYLOVEBECALLDI,PGARZ HZQPQ CIMSP SPNKM 
EFFLUENT,WHENINTHECHRONICLEOF,AMJYC RGAIH MCIRV VPJTQ 
BISMARCK,WHENINTHECHRONICLEOF,XPWZI EVRFK ZDOEK MMMGR 
CRUCIATE,NOTMINEOWNFEARSNORTH,PFNOQ NXSYE ZGIRL RQINJ 
LEUKEMIA,WHATSINTHEBRAINTHATI,HLUDW UVTSI VBEUV TSENS 
PERVERSE,ONEVERSAYTHATIWASFAL,DRVQI IKENX YVXZO EHJRG 
EXAMINED,ALASTISTRUEIHAVEGONE,EIAEB VWWVR EUPNZ HKLNQ 
DEPUTISE,OFORMYSAKEDOYOUWITHF,RJDLF GKENI SIRWM ALXWZ 
GRIPPERS,YOURLOVEANDPITYDOTHT,EFCGA SMWGE LEXXP VUKPI 
ORDNANCE,SINCEILEFTYOUMINEEYE,GZQPE VNITK BBUZK RSVBR 
FRESHEST,ORWHETHERDOTHMYMINDB,TIAZL XZXWU SLOQQ FNEHT 
PYRAMIDS,THOSELINESTHATIBEFOR,IFFSQ TLFTQ KHMBL TTDFR 
SORORITY,LETMENOTTOTHEMARRIAG,DSKAV VHRLC KVVUT PJWRU 
PEPERONI,ACCUSEMETHUSTHATIHAV,PGRYJ SZMIL JWKVN BXLPZ 
COURSING,LIKEASTOMAKEOURAPPET,NWEVS AGUOO EVGCE GRDYK 
DUODENUM,WHATPOTIONSHAVEIDRUN,ZBOWT BNURH GKEIY UGLIQ 
VEXATION,THATYOUWEREONCEUNKIN,OLXTR WIJZV BOGKS HIOFN 
CAJOLING,TISBETTERTOBEVILETHA,VIBPP BGKTT XPPDV RGTQO 
SHAMEFUL,THYGIFTTHYTABLESAREW,LOYSM KNEZF TMFQY DSYEI 
GOSSAMER,NOTIMETHOUSHALTNOTBO,TCLAM QXYUI KZAXX EUHTG 
SEASONAL,IFMYDEARLOVEWEREBUTT,AJMQR RACDS VWKRR PTYTL 
INSIGHTS,WERETAUGHTTOMEIBORET,ERJMZ HNYPG LWSLB TWEWB 
PERSONAL,OTHOUMYLOVELYBOYWHOI,DXYGI ZYWDZ VDMOO JLLFA 
ANEMONES,INTHEOLDAGEBLACKWASN,IAXTS BPVAT INZNG CWNWZ 
ADULTERY,HOWOFTWHENTHOUMYMUSI,HRQZY XNFEQ NSHYD WMXMT 
LETTINGS,THEEXPENSEOFSPIRITIN,ELXXF CKFDI HYACO JTXBG 
MONSOONS,MYMISTRESSEYESARENOT,YMZAG HEWEG RQSGN JQBBL 
SEALANTS,THOUARTASTYRANNOUSSO,LLOFA EMSKX YCAAG GMWSZ 
AUTOMATS,THINEEYESILOVEANDTHE,TBBBQ ERWSC ECHET FDNAS 
GRANDEES,BESHREWTHATHEARTTHAT,HVSUU IALNR TUHEV LZYAG 
JOSTLING,SONOWIHAVECONFESSDTH,BCFHH QUGES UHYNR YBRLA 
PINPOINT,WHOEVERHATHHERWISHTH,LPBTJ MEAPB UWSZJ BHPGW 
SPLINTER,IFTHYSOULCHEQUETHEET,AUEPL LSLDR SMDNI KZTPB 
DOMINANT,THOUBLINDFOOLLOVEWHA,WVACO LVGGT AWYLB OHKTI 
TORTURED,WHENMYLOVESWEARSTHAT,PVVGG PPROS JPYRV VMVRM 
GUNSMITH,OCALLNOTMETOJUSTIFYT,UWNDX VHASY GGVCL AOZLL 
COLLATED,BEWISEASTHOUARTCRUEL,DSHTS XEVVV ZFAKX FTIPW 
SECEDING,INFAITHIDONOTLOVETHE,ARHEL BUOVS PSWTB BWXJI 
INDECENT,LOVEISMYSINANDTHYDEA,TBYIK WZRAV QEPHG AGQHE 
POACHING,LOASACAREFULHOUSEWIF,ACAUH KNXTT UNOWH YTKIH 
HEADLAMP,TWOLOVESIHAVEOFCOMFO,AAOOZ VQHPL AYPOR RVQFR 
DRIVABLE,THOSELIPSTHATLOVESOW,WYWNE MTTVK PVTMZ ZHJWR 
BANSHEES,POORSOULTHECENTREOFM,QOBJZ SYDUH RULRX JFOSE 
ACRONYMS,MYLOVEISASAFEVERLONG,MACCI CUKAU RTRTQ JLQEU 
IMPORTED,OMEWHATEYESHATHLOVEP,WYTKY TXHGQ HVRML OWHTD 
BECKONED,CANSTTHOUOCRUELSAYIL,DEPCH GLRVS EBIRP VBCKV 
ENERGIES,OFROMWHATPOWERHASTTH,SSVFS ELSXC SNKZL SWGXY 
MEEKNESS,LOVEISTOOYOUNGTOKNOW,XSZOV WLGAC SEAKL GWRSG 
UNHINGED,INLOVINGTHEETHOUKNOW,CASWI ORJNU LMGNS XEAVE 
SHUFFLED,CUPIDLAIDBYHISBRANDA,UBJNI WELVI SMNDF USUXF 
EXHALING,THELITTLELOVEGODLYIN,XELLT BGRII VVPOB JPVPN 
POLITEST,FROMFAIRESTCREATURES,UFZUY EAKTG EKKIS MJFPA 
RUNNIEST,WHENFORTYWINTERSSHAL,NBRAN SJMPQ VABIJ LJBNY 
BARRAGES,LOOKINTHYGLASSANDTEL,MOFBI TXZZG CRSYE FETVC 
VARICOSE,UNTHRIFTYLOVELINESSW,PNKPT WXXTL FDGZA RZSJE 
CONCLAVE,THOSEHOURSTHATWITHGE,VVBUP HJYTG GJLTR MVVTG 
SEABIRDS,THENLETNOTWINTERSRAG,LLEOT VWFGX WJVKH JKVAH 
INHERENT,LOINTHEORIENTWHENTHE,TBPRK LRHZV LRKAU XVGOI 
IMAGINED,MUSICTOHEARWHYHEARST,UGSOK GSKMM RCPLL HIDSZ 
SUFFUSES,ISITFORFEARTOWETAWID,AMNYZ GVXWU WYIOI LSQNI 
PUNCTURE,FORSHAMEDENYTHATTHOU,UIEUA UDISY AAMBR XIBBW 
SCOOPFUL,ASFASTASTHOUSHALTWAN,SUTOH YUDLJ CIHMU WLYOB 
UNTESTED,WHENIDOCOUNTTHECLOCK,QUXRA WSFIH GXLAI FFBVO 
VOYAGING,OTHATYOUWEREYOURSELF,JHFAZ GBARS PEEWH XNSJF 
CASTAWAY,NOTFROMTHESTARSDOIMY,POLYR KMRJE KMANS BQIER 
RIGOROUS,WHENICONSIDEREVERYTH,NPKBZ QIFJQ JSISP WIGZV 
SPINOFFS,BUTWHEREFOREDONOTYOU,TJBJV JWWXD ZRRTS GLNWH 
VACATING,WHOWILLBELIEVEMYVERS,RHQWB TYHZL KEOMZ EQETS 
REFUNDED,SHALLICOMPARETHEETOA,JLFFY LGRDT FLRWL HVXTU 
PRELUDES,DEVOURINGTIMEBLUNTTH,SVZZO UMFVK MXYEP MCKXS 
PROSTATE,AWOMANSFACEWITHNATUR,PNCET NLJPT SOBTA RPKIJ 
VIBRATOR,SOISITNOTWITHMEASWIT,NWJJI MBFOE JKHFS RNEJK 
WARRANTY,MYGLASSSHALLNOTPERSU,IYXCA FLQDA CCNBM NARJL 
WHISPERS,ASANUNPERFECTACTORON,WZIFJ RGWNM MUIET LKYWF 
SHADOWED,MINEEYEHATHPLAYDTHEP,EPNHS UIKSA HSZWC GLOES 
DRAWLING,LETTHOSEWHOAREINFAVO,OVTPS WFKZY OWCMV TIRVK 
CANTATAS,LORDOFMYLOVETOWHOMIN,NOEWO YMQNO IXTHW ZQMVG 
ESTHETIC,WEARYWITHTOILIHASTEM,AWTYC PQVLL HPPBP CWLXT 
ILMENITE,HOWCANITHENRETURNINH,PZIGN VBXPP ZVRBN VVTZL 
PULLOVER,WHENINDISGRACEWITHFO,LBPYW IHZHA CLQZA ZIBQZ 
VAUNTING,WHENTOTHESESSIONSOFS,RHYAM WGNZS YFLQB TNOZF 
ANODISED,THYBOSOMISENDEAREDWI,TUMEW KSPIF SQLWE UEQKL 
SCARCITY,IFTHOUSURVIVEMYWELLC,AHTYQ CLSJX IMGUR UWNLT 
TIRESOME,FULLMANYAGLORIOUSMOR,YCCPE OZCTO CSJWA YLUFV 
SIDESTEP,WHYDIDSTTHOUPROMISES,OPBHA WWILP RYHKS BAAHW 
BENDINGS,NOMOREBEGRIEVEDATTHA,OSZRZ RHWHV VHDRJ SUXUD 
DEBUGGED,LETMECONFESSTHATWETW,OIUGK ISQII TMZNE WZIUQ 
LIMITING,ASADECREPITFATHERTAK,LAMLX KEKAQ FNTBU KCBMS 
CASELOAD,HOWCANMYMUSEWANTSUBJ,JOOGL BMBOU KIHON WUUTN 
SYMPTOMS,OHOWTHYWORTHWITHMANN,GFALM VKOGP FWPWF ZEYZC 
CASUALLY,TAKEALLMYLOVESMYLOVE,VACYA WWKAL GPEDX WNONY 
ABSCISSA,THOSEPETTYWRONGSTHAT,TIGUM HWTTZ OTWFY STISV 
INTERLAP,THATTHOUHASTHERITISN,BUTXK SOJPN LXYPR XBVLR 
HARVESTS,WHENMOSTIWINKTHENDOM,DHVIQ GLLPW ZIOLA WUDFH 
DITCHING,IFTHEDULLSUBSTANCEOF,LNMJL LHROA NDZBN TFMHH 
DRAINAGE,THEOTHERTWOSLIGHTAIR,WYEWG HKVWN OAYIM LWRIZ 
TYPESETS,MINEEYEANDHEARTAREAT,FGCIW CXSGB WISVM SKCPX 
FASTINGS,BETWIXTMINEEYEANDHEA,GELPQ KZENN WXGRG FIHWT 
BARBARIC,HOWCAREFULWASIWHENIT,IONDA IMHVL NBSZE JFNZU 
HUNDREDS,AGAINSTTHATTIMEIFEVE,HANLE WWLOU GWZQH AMYIH 
DEUTERON,HOWHEAVYDOIJOURNEYON,KSQAI RJLGS CCSLF AHCIG 
FREEHAND,THUSCANMYLOVEEXCUSET,YYYWJ AAPDC SZLEK FZJIX 
CUCUMBER,SOAMIASTHERICHWHOSEB,UICGU BWKJY TCOIA YQMGV 
ALLUVIAL,WHATISYOURSUBSTANCEW,WSLND AYZUC DOWAT LNNPQ 
ADJUNCTS,OHOWMUCHMOREDOTHBEAU,OKXQZ WVZMR AYQQM ZBHJO 
OUTFIELD,NOTMARBLENORTHEGILDE,BIMRI VMOSH HWBLP JWFWJ 
THEATRES,SWEETLOVERENEWTHYFOR,LDIEM CSNXY INXNX ZRMSR 
TUESDAYS,BEINGYOURSLAVEWHATSH,UYMFJ YMMKM PSYEU ZTNWZ 
CRACKLED,THATGODFORBIDTHATMAD,VYAVQ ZHIQI BKNEL DVDAF 
UNHARMED,IFTHEREBENOTHINGNEWB,CSAHV DIEYA VTYUR JHRDB 
MEANINGS,LIKEASTHEWAVESMAKETO,XMKRI FZZQA AIMFS SWITB 
STARLING,ISITTHYWILLTHYIMAGES,ALIKE PLCAE LKSGV SSZEJ 
SPORRANS,SINOFSELFLOVEPOSSESS,KXBFW SRDXA CMVPB KKTGJ 
ADORNING,AGAINSTMYLOVESHALLBE,AJOZA AGSYO CMRAU GLOPV 
SCAFFOLD,WHENIHAVESEENBYTIMES,OJESN VLYWU EJSPJ WAOEX 
SHEARING,SINCEBRASSNORSTONENO,KPRCV JEGKZ ROIAG UFLRO 
OVERMUCH,TIREDWITHALLTHESEFOR,HDVVP QKAVV PCFBG ZSASI 
APPRISED,AHWHEREFOREWITHINFEC,AWLYM JIIOG TNQLL LNUTT 
SPIKIEST,THUSISHISCHEEKTHEMAP,LWCCQ WZBKR POMOL AWBIZ 
BREECHES,THOSEPARTSOFTHEETHAT,UYSWG WEJUJ SJVOI WUYEX 
ANNOYERS,THATTHOUARTBLAMEDSHA,TUNHR LFMAE GPJED WDFUO 
GRANDEUR,NOLONGERMOURNFORMEWH,TFLBQ KYISF UEQJI ISVWU 
FURNACES,OLESTTHEWORLDSHOULDT,TFVFT VLWBI IYDUL GZFUG 
GIDDIEST,THATTIMEOFYEARTHOUMA,ZPDWB MEXUN BHIVL AUCPD 
ALLURING,BUTBECONTENTEDWHENTH,BFEVV KBTTP YNVLJ NEYEB 
REPULSED,SOAREYOUTOMYTHOUGHTS,JSPLP QSXKS BSEZS XXLIM 
REMOTEST,WHYISMYVERSESOBARREN,NLKWL QQOVV ESLST TIVQB 
RESPONDS,THYGLASSWILLSHOWTHEE,KLQVZ NVKNM DAGUR OKLWT 
RINGWORM,SOOFTHAVEIINVOKEDTHE,JWBLP VRHVQ VTRCB QUBUK 
GORILLAS,WHILSTIALONEDIDCALLU,CVZTD EISRC EMOTD UGZCC 
KEYHOLES,OHOWIFAINTWHENIOFYOU,YLMDW QEAXX UOSYM GPCMB 
SEDIMENT,ORISHALLLIVEYOUREPIT,GVLAT EYEDM YMKSH KWTLB 
DESERTER,IGRANTTHOUWERTNOTMAR,LKJEE MXYRY OIIMR FWQSV 
GROUPIES,INEVERSAWTHATYOUDIDP,OESPT ZWSCK VUIGS MJZRJ 
LABURNUM,WHOISITTHATSAYSMOSTW,HHPCJ VNFSA UMRLM YZSUQ 
SENATORS,MYTONGUETIEDMUSEINMA,ECGOG ULWLM RDFIJ WARZA 
LEAFIEST,WASITTHEPROUDFULLSAI,HESNB XZXAV OZLJM EWWAN 
MUNCHERS,FAREWELLTHOUARTTOODE,RUEGD ICDFB BWHVK LAIQG 
PEDIMENT,WHENTHOUSHALTBEDISPO,LLHVF LBNHL DTFFR WXWSW 
TIDELESS,SAYTHATTHOUDIDSTFORS,LIBXS ELLAW XHTHK LYWUW 
SIBILANT,THENHATEMEWHENTHOUWI,LPFVS AGXEM XPPNG AGCXQ 
ENGAGING,SOMEGLORYINTHEIRBIRT,WBSEM TBXCV TTNMV XFVXT 
VICINITY,BUTDOTHYWORSTTOSTEAL,WCVLB BAWRW TAGBH QOMCT 
ANNUALLY,SOSHALLILIVESUPPOSIN,SBFBA WWGLV IYSFA NOFVH 
COCONUTS,THEYTHATHAVEPOWERTOH,VVGMG BTLJO XSCIP WTHQV 
BONELESS,HOWSWEETANDLOVELYDOS,ICJWH IWLBB QPZZW DZRBW 
SUFFERED,SOMESAYTHYFAULTISYOU,KIRJW RCWZS KFYCX LKSTZ 
WHIMPERS,HOWLIKEAWINTERHATHMY,DVEXX OVSSP VFTVY SPOUK 
RINGLETS,FROMYOUHAVEIBEENABSE,WZBSJ SNZRD ROMIX FRJFK 
STOLIDLY,THEFORWARDVIOLETTHUS,LASQW UHYJW JTWOP RLAID 
ENLISTED,WHEREARTTHOUMUSETHAT,AUPZW TVWXU ZCENW HXULB 
GAUDIEST,OTRUANTMUSEWHATSHALL,UTLXI RLFAS YZPEL LNAFO 
BUSHLAND,MYLOVEISSTRENGTHENDT,NSDVG EVVTN JLYGG KFHVA 
SCYTHING,ALACKWHATPOVERTYMYMU,SNYVR EUGLR MOLZG EEAKN 
REASSESS,TOMEFAIRFRIENDYOUNEV,KSMWX EAJWV IWFHQ GLREN 
OBSCURED,LETNOTMYLOVEBECALLDI,ZFLPI KQBZP NGVVG DZMVK 
GRASPING,WHENINTHECHRONICLEOF,CYEFX VGNKT HJDVV IRVOX 
SORENESS,WHENINTHECHRONICLEOF,OVVRV RLZWQ YVBRA UDSFJ 
SEDUCERS,NOTMINEOWNFEARSNORTH,FSWGK RVGOR IYCVJ FGVWB 
CLOSEUPS,WHATSINTHEBRAINTHATI,YSOLW CCLJP PJECC LJLHA 
AQUILINE,ONEVERSAYTHATIWASFAL,ODYDP ZFEYJ BIEQJ ESVUT 
ALKALOID,ALASTISTRUEIHAVEGONE,AWKSE WAWRF OISOD HGZXE 
FOXTROTS,OFORMYSAKEDOYOUWITHF,TTLKD MLSPS AHPCN ONHEY 
AMBROSIA,YOURLOVEANDPITYDOTHT,YAVIZ GDEAZ EGWLG DOFIK 
KNUCKLED,SINCEILEFTYOUMINEEYE,CVHEO TPHPG SQEXM QORSG 
BIANNUAL,ORWHETHERDOTHMYMINDB,PZWUR NHPSL OGUGY XJVDO 
BLEACHED,THOSELINESTHATIBEFOR,USSSG SMQFD XHCAM EFQSR 
ELEVATES,LETMENOTTOTHEMARRIAG,PPXHE GSLXZ XCEFE JVTEB 
ARRANGER,ACCUSEMETHUSTHATIHAV,ATTUF KQVTY LSGNE KIYRV 
SNAGGING,LIKEASTOMAKEOURAPPET,DVKKG AGUEN KKUCE GHCEZ 
RADIATOR,WHATPOTIONSHAVEIDRUN,NHDBP HHZFN VPAOS ZURXV 
CHARRING,THATYOUWEREONCEUNKIN,VOAKP WHCGY EFEKR APRIE 
RECOUPLE,TISBETTERTOBEVILETHA,KMUPY IEIIX QPYKT PVXJO 
GUNSHOTS,THYGIFTTHYTABLESAREW,ZBLYP TMLNS GSIZX KGLRO 
GLOBULES,NOTIMETHOUSHALTNOTBO,TZHJG PXZUF GIUWX FUEPP 
DESPAIRS,IFMYDEARLOVEWEREBUTT,LJEND MRJOS NTWMI WEYLI 
AMNESIAC,WERETAUGHTTOMEIBORET,WQEIL IUIHF GSEMI DODRX 
PARAPETS,OTHOUMYLOVELYBOYWHOI,DTYOJ QRDDV VLNFH QLHFI 
PEDOLOGY,INTHEOLDAGEBLACKWASN,XRWVP CRBPK HPWOI ILEVB 
SEDATION,HOWOFTWHENTHOUMYMUSI,ZSZOY BKUWR WHHCA LEYVI 
PULSATED,THEEXPENSEOFSPIRITIN,IBPWX IIQHY ZXSIM UXNTF 
PRAIRIES,MYMISTRESSEYESARENOT,BPMQJ BVWHJ EGVAE JTEOB 
RIGHTFUL,THOUARTASTYRANNOUSSO,KPUBT WNLJB EYTSH ZLAYV 
ARMOURED,THINEEYESILOVEANDTHE,TYUBY VCHSZ XCPVE QDKTS 
LINEOUTS,BESHREWTHATHEARTTHAT,MMFLF YPLSI GLSUK LEPNX 
DOMINION,SONOWIHAVECONFESSDTH,VCZWJ QVNYS OWANS FVRFP 
VIRTUOSI,WHOEVERHATHHERWISHTH,RPFXP SJPVB YAYFO QNPKA 
GANGRENE,IFTHYSOULCHEQUETHEET,OFGNP WBYRC UKHYR XNERZ 
COAUTHOR,THOUBLINDFOOLLOVEWHA,VVOOU SWEFT OIESC MGKHU 
AEROBICS,WHENMYLOVESWEARSTHAT,WLVBN GNGVI JKFIT KTLRH 
ENDORSER,OCALLNOTMETOJUSTIFYT,SPDZC FSKQR WCAMW KMSBH 
SNIPPETS,BEWISEASTHOUARTCRUEL,TREXH ITKLU WJPVM UJHMA 
DESTRUCT,INFAITHIDONOTLOVETHE,LRXTZ NJBGS FHKFQ OHXZX 
BOASTFUL,LOVEISMYSINANDTHYDEA,MCVWB XGJTW NSGIN SZRES 
CASCADED,LOASACAREFULHOUSEWIF,NOSUA FEUGF MNHRY VGWAH 
PREVIOUS,TWOLOVESIHAVEOFCOMFO,INSGW JYKXY EQMCZ UDDJJ 
CAPTURED,THOSELIPSTHATLOVESOW,VHDLY CMSUT WTNCS YGSDP 
CONTINUE,POORSOULTHECENTREOFM,RCBKA BOPVV RVMAN VGCSF 
OVERLORD,MYLOVEISASAFEVERLONG,ATPFG SZVON EWPJV UZJRX 
PASSWORD,OMEWHATEYESHATHLOVEP,DMWOD OKHNE KZWHY ODVWH 
LUKEWARM,CANSTTHOUOCRUELSAYIL,NUXWP TYAFI MVQEC ELSSP 
DEBATERS,OFROMWHATPOWERHASTTH,RJSOF AYSWT PWXVY SVXUH 
CONTENDS,LOVEISTOOYOUNGTOKNOW,NCIXM FWGQM BNRTW GMBBP 
LISTINGS,INLOVINGTHEETHOUKNOW,TVDHD VTYEP WXBUU MVVGP 
MACHISMO,CUPIDLAIDBYHISBRANDA,OURPL DMWPB AOQKN FMNFH 
SECRETLY,THELITTLELOVEGODLYIN,LLGCM MEJWP QMIZZ BDCKE 
LANTERNS,FROMFAIRESTCREATURES,QRBFJ RVJPS GVVVN LFRRL 
CAMSHAFT,WHENFORTYWINTERSSHAL,YHQFM OWMAW UFAEW LUHMD 
BLUEMOON,LOOKINTHYGLASSANDTEL,MZIOU BHUZR FEEGO AEEYP 
MISNOMER,UNTHRIFTYLOVELINESSW,GVLUF UJKKT GISXM EQAKJ 
STRAWMAN,THOSEHOURSTHATWITHGE,LAFSA TOHJL KHWFW VLAXE 
WOODBINE,THENLETNOTWINTERSRAG,PVSQM MGRKH KLOBR VOFOJ 
REINDEER,LOINTHEORIENTWHENTHE,CSQAW LIFIM MAWAL VEXPR 
OVERHEAR,MUSICTOHEARWHYHEARST,APWZJ XOYSV VNOCH VOMWK 
CABBAGES,ISITFORFEARTOWETAWID,KSJUF UVXGA SUOCI LCWJE 
TONEDEAF,FORSHAMEDENYTHATTHOU,YCEWK EMJWS ACWLA YMVBY 
DULCIMER,ASFASTASTHOUSHALTWAN,DMQCA FEJWB ZWATE CWQLP 
HELSINKI,WHENIDOCOUNTTHECLOCK,DLPFQ QYKVY YLBUO KSSNC 
GLADDEST,OTHATYOUWEREYOURSELF,UEHDW CGNCP RHBSM KYPLI 
SQUELCHY,NOTFROMTHESTARSDOIMY,FENJC QTRZU MXLTZ BGYGC 
SYNOPTIC,WHENICONSIDEREVERYTH,OFRBX VWPKG QSGXD GJWGV 
HAYFIELD,BUTWHEREFOREDONOTYOU,IURBP ICHMO PJLSY RAYMZ 
STOMPING,WHOWILLBELIEVEMYVERS,OACIX TYHWE WQKMZ ENXFE 
WOMANISH,SHALLICOMPARETHEETOA,OVMLY QUVID MRRBZ LAHAA 
WHEEDLED,DEVOURINGTIMEBLUNTTH,ZLZSX CMQCA MQHMP XJAXL 
DEGRADED,AWOMANSFACEWITHNATUR,DAUDA QWIDG KNIWL QDXAI 
MISSOURI,SOISITNOTWITHMEASWIT,EWAKW NEWFE ALVGV IEEAL 
ELLIPSES,MYGLASSSHALLNOTPERSU,QJRTP KWKLL WTCGX HICDC 
BOWLINES,ASANUNPERFECTACTORON,BGWYC ATWST ANBNG LPFKY 
BEATNIKS,MINEEYEHATHPLAYDTHEP,NMNXR GOZBX HIYII VULEI 
DELUGING,LETTHOSEWHOAREINFAVO,OIENN WFKZL ZUXMV TIEGI 
GLOBULAR,LORDOFMYLOVETOWHOMIN,RZFEI QMPRZ JFNZW YUXWO 
DETESTER,WEARYWITHTOILIHASTEM,ZITVQ PMKKX HMDBL RVXXQ 
DULLARDS,HOWCANITHENRETURNINH,KIHNA ELLKY YCEKX JQCYS 
EXOCRINE,WHENINDISGRACEWITHFO,AESPZ VQMWD FCTMJ MXETQ 
TARTRATE,WHENTOTHESESSIONSOFS,PHVGK OMLXS VLJIH RLOWL 
DESIRING,THYBOSOMISENDEAREDWI,WLQJF ABSLW WVUMN XHHOQ 
SPECIMEN,IFTHOUSURVIVEMYWELLC,AUXJW GWHJK MXMYC JWAPE 
HARMLESS,FULLMANYAGLORIOUSMOR,MUCXX EFQHG CACMG MZMFD 
SNOWLINE,WHYDIDSTTHOUPROMISES,OUMZT LFXLU CQAZB QAFSO 
COMPETES,NOMOREBEGRIEVEDATTHA,PCYDV XFWIF UTZXH SVHTP 
SMELLIER,LETMECONFESSTHATWETW,DQXXP KSEXQ WDEPE KOQXH 
MERCURIC,ASADECREPITFATHERTAK,MWRFY TZGBM KHUKP GDXRM 
INCUBATE,HOWCANMYMUSEWANTSUBJ,PBYWB NFCUH UYXAG XAHDD 
LAPWINGS,OHOWTHYWORTHWITHMANN,ZHDSB UEOZR IDEVZ ZXACJ 
TUNELESS,TAKEALLMYLOVESMYLOVE,MUXIL PDERF BZPWE QEIII 
COMPETED,THOSEPETTYWRONGSTHAT,VVAHI IIWVM IGSGK VVVMI 
CROPPERS,THATTHOUHASTHERITISN,VYOII LFMJR GIWII AVZGC 
KNIGHTLY,WHENMOSTIWINKTHENDOM,GUMTT HDRSJ QTRMS CXQWS 
COLANDER,IFTHEDULLSUBSTANCEOF,KTEHR GYCNG FBFWE EESZF 
ATROCITY,THEOTHERTWOSLIGHTAIR,TAVCV PXPTP FGNQZ FTTZF 
TROOPERS,MINEEYEANDHEARTAREAT,FZBST CVSGU VSPVK SKVOH 
